id,from,fromDepot,Total,start,end
1,571AA,571QKF,553.7904,0,90
1,571AC,571NC,681.7742,0,90
1,571AD,571D,1749.6694,0,90
1,571AE,571QKC,363.2724,0,90
1,571AF,571QKF,695.741,0,90
1,571AG,571QKA,760.2866,0,90
1,571AJ,571QKC,396.8334,0,90
1,571AM,571QKF,388.5166,0,90
1,571AQ,571NC,257.6174,0,90
1,571B,571D,1138.4298,0,90
1,571BM,571QKF,785.0336,0,90
1,571CC,571FA,510.873,0,90
1,571CD,571QKC,527.0772,0,90
1,571CK,571QKE,523.3934,0,90
1,571CL,571QKE,383.3638,0,90
1,571CS,571QKF,669.0504,0,90
1,571DA,571D,444.7906,0,90
1,571DB,571D,486.9396,0,90
1,571DC,571QKA,797.554,0,90
1,571DJ,571D,627.8506,0,90
1,571E,571QKF,814.6396,0,90
1,571EA,571QKF,322.9766,0,90
1,571FB,571QKE,392.788,0,90
1,571FC,571QKE,492.3636,0,90
1,571FF,571QKE,353.7352,0,90
1,571FH,571QKE,422.6652,0,90
1,571FL,571QKE,259.787,0,90
1,571FM,571QKE,513.9014,0,90
1,571FN,571FA,434.9822,0,90
1,571FP,571FA,387.2962,0,90
1,571FQ,571FA,436.8354,0,90
1,571FT,571QKE,861.6024,0,90
1,571FX,571FA,242.724,0,90
1,571HB,571NC,343.3166,0,90
1,571HC,571NC,613.5674,0,90
1,571HJ,571QKE,388.2002,0,90
1,571HK,571FA,144.7304,0,90
1,571HN,571QKC,375.3634,0,90
1,571J,571D,719.019,0,90
1,571JB,571D,915.6164,0,90
1,571K,571NC,466.8708,0,90
1,571KA,571QKF,517.2688,0,90
1,571KB,571QKE,534.2866,0,90
1,571KF,571D,494.5784,0,90
1,571KJ,571QKC,649.7048,0,90
1,571KL,571D,507.6638,0,90
1,571KM,571FA,406.687,0,90
1,571KT,571NC,473.2666,0,90
1,571LB,571FA,381.1038,0,90
1,571LD,571QKE,283.8108,0,90
1,571LH,571FA,170.5622,0,90
1,571NF,571QKA,448.7456,0,90
1,571P,571QKF,422.733,0,90
1,571PB,571QKF,1505.047,0,90
1,571PC,571QKF,901.3558,0,90
1,571PD,571QKE,592.7754,0,90
1,571PF,571QKF,321.937,0,90
1,571PG,571QKC,608.279,0,90
1,571PH,571QKF,1779.863,0,90
1,571QA,571D,467.3906,0,90
1,571QC,571QKA,331.4064,0,90
1,571QD,571QKA,814.8656,0,90
1,571QE,571QKA,883.773,0,90
1,571QF,571QKC,512.2064,0,90
1,571TD,571NC,305.5294,0,90
1,571TM,571NC,437.4456,0,90
1,571D,571FA,571.102,165,250
1,571D,571FB,99.44,165,250
1,571D,571G,956.1156,165,250
1,571D,571NC,851.4324,165,250
1,571D,571NH,795.0228,165,250
1,571D,571QKA,793.8476,165,250
1,571D,571QKC,649.2528,165,250
1,571D,571QKE,1002.0388,165,250
1,571D,571QKF,1189.664,165,250
1,571D,571TP,731.1326,165,250
1,571D,571WW,321.937,165,250
1,571FA,571D,344.5596,165,250
1,571FA,571FB,151.3974,165,250
1,571FA,571G,235.1756,165,250
1,571FA,571NC,284.76,165,250
1,571FA,571NH,171.2854,165,250
1,571FA,571QKA,241.0968,165,250
1,571FA,571QKC,212.6208,165,250
1,571FA,571QKE,443.9092,165,250
1,571FA,571QKF,485.0412,165,250
1,571FA,571TP,216.0334,165,250
1,571FA,571WW,300.806,165,250
1,571NC,571D,460.0456,165,250
1,571NC,571FA,317.6656,165,250
1,571NC,571FB,52.7032,165,250
1,571NC,571G,385.5786,165,250
1,571NC,571NH,353.7578,165,250
1,571NC,571QKA,359.7468,165,250
1,571NC,571QKC,264.194,165,250
1,571NC,571QKE,445.8076,165,250
1,571NC,571QKF,576.4808,165,250
1,571NC,571TP,406.9582,165,250
1,571NC,571WW,159.3526,165,250
1,571QKA,571D,436.632,165,250
1,571QKA,571FA,280.6468,165,250
1,571QKA,571FB,49.72,165,250
1,571QKA,571G,514.602,165,250
1,571QKA,571NC,363.86,165,250
1,571QKA,571NH,430.5752,165,250
1,571QKA,571QKC,221.48,165,250
1,571QKA,571QKE,388.2228,165,250
1,571QKA,571QKF,480.928,165,250
1,571QKA,571TP,385.33,165,250
1,571QKA,571WW,102.4232,165,250
1,571QKC,571D,365.1256,165,250
