from,¾­¶È,Î³¶È
FC5713911,120.144823,30.304547
FC5713910,120.143321,30.303472
FC5713907,120.143745,30.303963
FC5713897,120.042843,30.293379
FC5713896,120.236708,30.206877
FC5713895,120.159964,30.136025
FC5713893,120.201915,30.172261
FC5713891,120.208599,30.190762
FC5713890,120.207285,30.190712
FC5713889,120.215785,30.346198
FC5713888,120.216894,30.346869
FC5713885,120.07186,30.140528
FC5713883,120.054352,30.138177
FC5713882,120.054352,30.138177
FC5713880,120.068176,30.290903
FC5713875,120.271028,30.234971
FC5713874,120.217439,30.188766
FC5713873,120.223431,30.186779
FC5713872,120.22492,30.196325
FC5713871,120.22492,30.196325
FC5713870,120.22492,30.196325
FC5713869,120.22492,30.196325
FC5713868,120.127673,30.340153
FC5713865,120.252223,30.235562
FC5713864,120.201234,30.101851
FC5713863,120.215181,30.174667
FC5713862,120.080077,30.319897
FC5713861,120.080077,30.319897
FC5713858,120.244632,30.228487
FC5713856,120.267489,30.139376
FC5713854,120.132559,30.372056
FC5713853,120.131937,30.372014
FC5713852,120.135364,30.295842
FC5713851,120.157197,30.297505
FC5713845,120.341638,30.329294
FC5713844,120.069194,30.353376
FC5713843,120.069226,30.353358
FC5713842,120.069198,30.354113
FC5713841,120.024962,30.243995
FC5713840,120.030322,30.242388
FC5713836,120.180987,30.349992
FC5713835,120.185055,30.258354
FC5713832,120.185351,30.352212
FC5713831,120.027591,30.243245
FC5713830,120.238438,30.229761
FC5713829,120.286466,30.306918
FC5713828,120.286466,30.306918
FC5713827,120.286466,30.306918
FC5713825,120.256256,30.228319
FC5713824,120.253633,30.229432
FC5713823,120.283716,30.195776
FC5713822,120.283474,30.195732
FC5713821,120.282591,30.135947
FC5713820,120.221722,30.324701
FC5713819,120.213867,30.248787
FC5713818,120.212837,30.249251
FC5713817,120.212842,30.249264
FC5713815,120.215721,30.246515
FC5713814,120.216397,30.245992
FC5713813,120.166716,30.240056
FC5713812,120.260558,30.192047
FC5713811,120.260558,30.192047
FC5713805,120.253274,30.195714
FC5713804,120.253274,30.195714
FC5713803,120.253274,30.195714
FC5713802,120.253274,30.195714
FC5713801,120.253274,30.195714
FC5713800,120.322561,30.297829
FC5713799,120.322561,30.297829
FC5713798,120.245606,30.181609
FC5713795,120.183525,30.352151
FC5713794,120.183525,30.352151
FC5713793,120.183525,30.352151
FC5713792,120.180191,30.352729
FC5713791,120.330476,30.309971
FC5713789,120.112037,30.308115
FC5713788,120.239736,30.226392
FC5713787,120.225585,30.185659
FC5713786,120.206791,30.191696
FC5713785,120.278774,30.180009
FC5713784,120.22562,30.356796
FC5713783,120.225764,30.35678
FC5713782,120.225619,30.356775
FC5713781,120.101683,30.305835
FC5713780,120.224627,30.208543
FC5713779,120.224627,30.208543
FC5713778,120.032234,30.24357
FC5713777,120.069594,30.290678
FC5713776,120.029299,30.241143
FC5713775,120.027323,30.24375
FC5713770,120.065911,30.353945
FC5713769,120.0665,30.354069
FC5713767,120.225175,30.188575
FC5713766,120.260045,30.228287
FC5713765,120.255098,30.233775
FC5713764,120.235796,30.178554
FC5713761,120.228482,30.360362
FC5713760,120.228482,30.360372
FC5713759,120.233468,30.360066
FC5713758,120.240041,30.352804
FC5713757,120.240164,30.352218
FC5713755,120.227045,30.355159
FC5713753,120.201835,30.344478
FC5713752,120.201835,30.344478
FC5713751,120.132944,30.321136
FC5713750,120.132944,30.321085
FC5713749,120.164267,30.380719
FC5713747,120.139735,30.291763
FC5713745,120.21481,30.252447
FC5713743,120.274226,30.129303
FC5713741,120.242581,30.172635
FC5713740,120.201739,30.161608
FC5713739,120.262185,30.316357
FC5713738,120.193083,30.204681
FC5713737,120.193083,30.204681
FC5713736,120.193083,30.204681
FC5713735,120.193083,30.204681
FC5713734,120.193083,30.204681
FC5713733,120.193083,30.204681
FC5713730,120.067878,30.144628
FC5713729,120.067878,30.144628
FC5713727,120.240336,30.239949
FC5713726,120.128064,30.340282
FC5713725,120.247766,30.204392
FC5713724,120.240336,30.239949
FC5713722,120.095534,30.167362
FC5713721,120.195922,30.335771
FC5713720,120.330668,30.306148
FC5713719,120.235916,30.215713
FC5713718,120.365843,30.328572
FC5713716,120.076475,30.315648
FC5713715,120.076475,30.315648
FC5713710,120.128601,30.340129
FC5713709,120.111039,30.306198
FC5713708,120.111007,30.306137
FC5713707,120.111661,30.305614
FC5713706,120.113437,30.307064
FC5713704,120.118591,30.336184
FC5713703,120.117641,30.336123
FC5713702,120.117496,30.335582
FC5713701,120.118011,30.335665
FC5713700,120.118633,30.335611
FC5713699,120.120033,30.335569
FC5713698,120.120731,30.335662
FC5713697,120.121267,30.335763
FC5713696,120.121063,30.336148
FC5713695,120.120065,30.336157
FC5713694,120.118774,30.337375
FC5713693,120.103927,30.319985
FC5713692,120.107715,30.319665
FC5713687,120.280945,30.347041
FC5713686,120.280956,30.347125
FC5713685,120.043127,30.293175
FC5713684,120.050711,30.229417
FC5713683,120.155378,30.293667
FC5713682,120.243362,30.220859
FC5713681,120.259781,30.170199
FC5713680,120.174898,30.216314
FC5713679,120.178537,30.218853
FC5713677,120.176348,30.228513
FC5713676,120.270988,30.205868
FC5713675,120.269375,30.205676
FC5713674,120.236306,30.230248
FC5713673,120.120004,30.286222
FC5713672,120.107883,30.277401
FC5713671,120.107496,30.327694
FC5713670,120.170138,30.26781
FC5713669,120.266311,30.178141
FC5713668,120.236485,30.215797
FC5713667,120.183544,30.228078
FC5713666,120.176938,30.174409
FC5713665,120.225058,30.188633
FC5713664,120.154221,30.162225
FC5713663,120.245713,30.135258
FC5713662,120.193501,30.354393
FC5713661,120.166707,30.337482
FC5713660,120.219448,30.327485
FC5713659,120.158977,30.265732
FC5713658,120.113753,30.295268
FC5713657,120.113608,30.295249
FC5713656,120.097152,30.335075
FC5713655,120.224161,30.209031
FC5713646,120.186494,30.257455
FC5713644,120.189437,30.342851
FC5713643,120.151709,30.160028
FC5713640,120.376861,30.222781
FC5713639,120.303008,30.303268
FC5713633,120.211208,30.269042
FC5713629,120.069377,30.177189
FC5713628,120.210635,30.189584
FC5713627,120.329922,30.314612
FC5713626,120.216907,30.300241
FC5713625,120.271336,30.193009
FC5713623,120.257499,30.229073
FC5713622,120.218608,30.326949
FC5713611,120.104402,30.170364
FC5713608,120.050711,30.229417
FC5713606,120.119039,30.340792
FC5713605,120.056981,30.292934
FC5713604,120.120342,30.340769
FC5713603,120.057018,30.293022
FC5713602,120.030662,30.232925
FC5713601,120.031842,30.235224
FC5713600,120.175298,30.379204
FC5713599,120.173305,30.380843
FC5713598,120.056675,30.294246
FC5713597,120.051541,30.237354
FC5713594,120.128516,30.291837
FC5713593,120.366167,30.328438
FC5713591,120.124341,30.332179
FC5713590,120.190331,30.222608
FC5713589,120.186555,30.2688
FC5713588,120.308434,30.296995
FC5713587,120.329528,30.295231
FC5713586,120.329578,30.295642
FC5713585,120.214304,30.253465
FC5713584,120.214304,30.253465
FC5713583,120.214304,30.253465
