from,to,dist,time,????12????????,????5????????
571AA,571AD,10.119,20.238,#N/A,#N/A
571AA,571AF,6.543,13.086,#N/A,#N/A
571AA,571AG,19.269,38.538,#N/A,#N/A
571AA,571AC,27.293,54.586,#N/A,#N/A
571AA,571AQ,36.776,73.552,#N/A,#N/A
571AA,571AM,8.363,16.726,#N/A,#N/A
571AA,571AB,49.323,98.646,#N/A,#N/A
571AA,571JC,50.545,101.09,#N/A,#N/A
571AA,571KH,60.06,120.12,#N/A,#N/A
571AA,571TH,83.658,167.316,#N/A,#N/A
571AA,571TL,38.359,76.718,#N/A,#N/A
571AA,571DA,18.91,37.82,#N/A,#N/A
571AA,571K,13.403,26.806,#N/A,#N/A
571AA,571KF,15.336,30.672,#N/A,#N/A
571AA,571KC,20.007,40.014,#N/A,#N/A
571AA,571TD,20.497,40.994,#N/A,#N/A
571AA,571TN,24.176,48.352,#N/A,#N/A
571AA,571HC,19.132,38.264,#N/A,#N/A
571AA,571TM,17.139,34.278,#N/A,#N/A
571AA,571B,7.805,15.61,#N/A,#N/A
571AA,571BM,3.33,6.66,#N/A,#N/A
571AA,571CAE,11.058,27.116,#N/A,#N/A
571AA,571FC,15.788,36.576,#N/A,#N/A
571AA,571FN,20.16,45.32,#N/A,#N/A
571AA,571LD,12.443,29.886,#N/A,#N/A
571AA,571FT,12.574,30.148,#N/A,#N/A
571AA,571KB,11.189,27.378,#N/A,#N/A
571AA,571CS,2.278,4.556,#N/A,#N/A
571AA,571D,12.267,24.534,#N/A,#N/A
571AA,571DC,16.609,33.218,#N/A,#N/A
571AA,571CC,24.379,53.758,#N/A,#N/A
571AA,571FQ,25.869,56.738,#N/A,#N/A
571AA,571HK,25.31,55.62,#N/A,#N/A
571AA,571E,1.843,3.686,#N/A,#N/A
571AA,571EA,3.377,6.754,#N/A,#N/A
571AA,571HB,27.104,54.208,#N/A,#N/A
571AA,571KT,27.444,54.888,#N/A,#N/A
571AA,571DB,16.403,32.806,#N/A,#N/A
571AA,571DJ,12.008,24.016,#N/A,#N/A
571AA,571H,32.435,64.87,#N/A,#N/A
571AA,571TF,29.567,59.134,#N/A,#N/A
571AA,571TQ,27.04,54.08,#N/A,#N/A
571AA,571FF,12.666,30.332,#N/A,#N/A
571AA,571FH,17.497,39.994,#N/A,#N/A
571AA,571FL,15.123,35.246,#N/A,#N/A
571AA,571FJ,96.365,192.73,#N/A,#N/A
571AA,571SC,96.832,193.664,#N/A,#N/A
571AA,571FG,62.343,129.686,#N/A,#N/A
571AA,571MQ,47.239,99.478,#N/A,#N/A
571AA,571NF,16.784,33.568,#N/A,#N/A
571AA,571NG,27.037,54.074,#N/A,#N/A
571AA,571FA,18.18,41.36,#N/A,#N/A
571AA,571FP,17.124,39.248,#N/A,#N/A
571AA,571HJ,12.164,29.328,#N/A,#N/A
571AA,571LB,18.675,42.35,#N/A,#N/A
571AA,571QKA,16.921,33.842,#N/A,#N/A
571AA,571QKB,35.051,70.102,#N/A,#N/A
571AA,571QKC,15.455,30.91,#N/A,#N/A
571AA,571QKD,27.206,54.412,#N/A,#N/A
571AA,571QKE,12.563,30.126,#N/A,#N/A
571AA,571QKF,8.355,16.71,#N/A,#N/A
571AA,571QKG,22.838,45.676,#N/A,#N/A
571AA,571QKT,0,5,#N/A,#N/A
571AA,571FM,12.21,29.42,#N/A,#N/A
571AA,571FD,37.219,79.438,#N/A,#N/A
571AA,571FR,25.248,55.496,#N/A,#N/A
571AA,571FS,49.001,103.002,#N/A,#N/A
571AA,571LH,26.956,58.912,#N/A,#N/A
571AA,571SH,39.046,83.092,#N/A,#N/A
571AA,571FK,64.1,128.2,#N/A,#N/A
571AA,571G,42.245,84.49,#N/A,7
571AA,571GB,33.3,66.6,#N/A,#N/A
571AA,571GC,49.783,99.566,#N/A,#N/A
571AA,571HG,54.092,108.184,#N/A,#N/A
571AA,571SB,42.294,84.588,#N/A,#N/A
571AA,571SD,39.125,78.25,#N/A,#N/A
571AA,571CK,11.279,27.558,#N/A,#N/A
571AA,571CL,12.805,30.61,#N/A,#N/A
571AA,571FB,13.069,31.138,#N/A,6
571AA,571CD,10.019,20.038,#N/A,#N/A
571AA,571HN,14.943,29.886,#N/A,#N/A
571AA,571J,6.711,13.422,#N/A,#N/A
571AA,571JB,9.086,18.172,#N/A,#N/A
571AA,571KA,8.746,17.492,#N/A,#N/A
571AA,571KL,7.712,15.424,#N/A,#N/A
571AA,571FE,41.636,88.272,#N/A,#N/A
571AA,571MC,36.342,77.684,#N/A,#N/A
571AA,571MF,35.05,75.1,#N/A,#N/A
571AA,571M,35.792,76.584,#N/A,#N/A
571AA,571MB,31.181,67.362,#N/A,#N/A
571AA,571MD,47.093,99.186,#N/A,#N/A
571AA,571NA,30.777,61.554,#N/A,#N/A
571AA,571NE,24.486,48.972,#N/A,#N/A
571AA,571NC,16.17,32.34,#N/A,#N/A
571AA,571P,4.516,9.032,#N/A,#N/A
571AA,571PB,5.9,11.8,#N/A,#N/A
571AA,571PC,4.358,8.716,#N/A,#N/A
571AA,571PD,5.833,11.666,#N/A,#N/A
571AA,571AJ,7.434,14.868,#N/A,#N/A
571AA,571KJ,6.577,13.154,#N/A,#N/A
571AA,571PF,6.474,12.948,#N/A,#N/A
571AA,571PG,17.496,34.992,#N/A,#N/A
571AA,571PH,5.915,11.83,#N/A,#N/A
571AA,571AE,15.921,31.842,#N/A,#N/A
571AA,571HP,18.941,37.882,#N/A,#N/A
