from,to,dist,time
571AA,571AD,10.119,17.34685714
571AA,571AF,6.543,11.21657143
571AA,571AG,19.269,33.03257143
571AA,571AC,27.293,46.788
571AA,571AQ,36.776,63.04457143
571AA,571AM,8.363,14.33657143
571AA,571AB,49.323,84.55371429
571AA,571JC,50.545,86.64857143
571AA,571KH,60.06,102.96
571AA,571TH,83.658,143.4137143
571AA,571TL,38.359,65.75828571
571AA,571DA,18.91,32.41714286
571AA,571K,13.403,22.97657143
571AA,571KF,15.336,26.29028571
571AA,571KC,20.007,34.29771429
571AA,571TD,20.497,35.13771429
571AA,571TN,24.176,41.44457143
571AA,571HC,19.132,32.79771429
571AA,571TM,17.139,29.38114286
571AA,571B,7.805,13.38
571AA,571BM,3.33,5.708571429
571AA,571CAE,11.058,18.95657143
571AA,571FC,15.788,27.06514286
571AA,571FN,20.16,34.56
571AA,571LD,12.443,21.33085714
571AA,571FT,12.574,21.55542857
571AA,571KB,11.189,19.18114286
571AA,571CS,2.278,3.905142857
571AA,571D,12.267,21.02914286
571AA,571DC,16.609,28.47257143
571AA,571CC,24.379,41.79257143
571AA,571FQ,25.869,44.34685714
571AA,571HK,25.31,43.38857143
571AA,571E,1.843,3.159428571
571AA,571EA,3.377,5.789142857
571AA,571HB,27.104,46.464
571AA,571KT,27.444,47.04685714
571AA,571DB,16.403,28.11942857
571AA,571DJ,12.008,20.58514286
571AA,571H,32.435,55.60285714
571AA,571TF,29.567,50.68628571
571AA,571TQ,27.04,46.35428571
571AA,571FF,12.666,21.71314286
571AA,571FH,17.497,29.99485714
571AA,571FL,15.123,25.92514286
571AA,571FJ,96.365,165.1971429
571AA,571SC,96.832,165.9977143
571AA,571FG,62.343,106.8737143
571AA,571MQ,47.239,80.98114286
571AA,571NF,16.784,28.77257143
571AA,571NG,27.037,46.34914286
571AA,571FA,18.18,31.16571429
571AA,571FP,17.124,29.35542857
571AA,571HJ,12.164,20.85257143
571AA,571LB,18.675,32.01428571
571AA,571QKA,16.921,29.00742857
571AA,571QKB,35.051,60.08742857
571AA,571QKC,15.455,26.49428571
571AA,571QKD,27.206,46.63885714
571AA,571QKE,12.563,21.53657143
571AA,571QKF,8.355,14.32285714
571AA,571QKG,22.838,39.15085714
571AA,571QKT,0,0
571AA,571FM,12.21,20.93142857
571AA,571FD,37.219,63.804
571AA,571FR,25.248,43.28228571
571AA,571FS,49.001,84.00171429
571AA,571LH,26.956,46.21028571
571AA,571SH,39.046,66.936
571AA,571FK,64.1,109.8857143
571AA,571G,42.245,72.42
571AA,571GB,33.3,57.08571429
571AA,571GC,49.783,85.34228571
571AA,571HG,54.092,92.72914286
571AA,571SB,42.294,72.504
571AA,571SD,39.125,67.07142857
571AA,571CK,11.279,19.33542857
571AA,571CL,12.805,21.95142857
571AA,571FB,13.069,22.404
571AA,571CD,10.019,17.17542857
571AA,571HN,14.943,25.61657143
571AA,571J,6.711,11.50457143
571AA,571JB,9.086,15.576
571AA,571KA,8.746,14.99314286
571AA,571KL,7.712,13.22057143
571AA,571FE,41.636,71.376
571AA,571MC,36.342,62.30057143
571AA,571MF,35.05,60.08571429
571AA,571M,35.792,61.35771429
