from,to,dist,time
571AA,571AD,10.119,20.238
571AA,571AF,6.543,13.086
571AA,571AG,19.269,38.538
571AA,571AC,27.293,54.586
571AA,571AQ,36.776,73.552
571AA,571AM,8.363,16.726
571AA,571AB,49.323,98.646
571AA,571JC,50.545,101.09
571AA,571KH,60.06,120.12
571AA,571TH,83.658,167.316
571AA,571TL,38.359,76.718
571AA,571DA,18.91,37.82
571AA,571K,13.403,26.806
571AA,571KF,15.336,30.672
571AA,571KC,20.007,40.014
571AA,571TD,20.497,40.994
571AA,571TN,24.176,48.352
571AA,571HC,19.132,38.264
571AA,571TM,17.139,34.278
571AA,571B,7.805,15.61
571AA,571BM,3.33,6.66
571AA,571CAE,11.058,27.116
571AA,571FC,15.788,36.576
571AA,571FN,20.16,45.32
571AA,571LD,12.443,29.886
571AA,571FT,12.574,30.148
571AA,571KB,11.189,27.378
571AA,571CS,2.278,4.556
571AA,571D,12.267,24.534
571AA,571DC,16.609,33.218
571AA,571CC,24.379,53.758
571AA,571FQ,25.869,56.738
571AA,571HK,25.31,55.62
571AA,571E,1.843,3.686
571AA,571EA,3.377,6.754
571AA,571HB,27.104,54.208
571AA,571KT,27.444,54.888
571AA,571DB,16.403,32.806
571AA,571DJ,12.008,24.016
571AA,571H,32.435,64.87
571AA,571TF,29.567,59.134
571AA,571TQ,27.04,54.08
571AA,571FF,12.666,30.332
571AA,571FH,17.497,39.994
571AA,571FL,15.123,35.246
571AA,571FJ,96.365,192.73
571AA,571SC,96.832,193.664
571AA,571FG,62.343,129.686
571AA,571MQ,47.239,99.478
571AA,571NF,16.784,33.568
571AA,571NG,27.037,54.074
571AA,571FA,18.18,41.36
571AA,571FP,17.124,39.248
571AA,571HJ,12.164,29.328
571AA,571LB,18.675,42.35
571AA,571QKA,16.921,33.842
571AA,571QKB,35.051,70.102
571AA,571QKC,15.455,30.91
571AA,571QKD,27.206,54.412
571AA,571QKE,12.563,30.126
571AA,571QKF,8.355,16.71
571AA,571QKG,22.838,45.676
571AA,571QKT,0,5
571AA,571FM,12.21,29.42
571AA,571FD,37.219,79.438
571AA,571FR,25.248,55.496
571AA,571FS,49.001,103.002
571AA,571LH,26.956,58.912
571AA,571SH,39.046,83.092
571AA,571FK,64.1,128.2
571AA,571G,42.245,84.49
571AA,571GB,33.3,66.6
571AA,571GC,49.783,99.566
571AA,571HG,54.092,108.184
571AA,571SB,42.294,84.588
571AA,571SD,39.125,78.25
571AA,571CK,11.279,27.558
571AA,571CL,12.805,30.61
571AA,571FB,13.069,31.138
571AA,571CD,10.019,20.038
571AA,571HN,14.943,29.886
571AA,571J,6.711,13.422
571AA,571JB,9.086,18.172
571AA,571KA,8.746,17.492
571AA,571KL,7.712,15.424
571AA,571FE,41.636,88.272
571AA,571MC,36.342,77.684
571AA,571MF,35.05,75.1
571AA,571M,35.792,76.584
571AA,571MB,31.181,67.362
571AA,571MD,47.093,99.186
571AA,571NA,30.777,61.554
571AA,571NE,24.486,48.972
571AA,571NC,16.17,32.34
571AA,571P,4.516,9.032
571AA,571PB,5.9,11.8
571AA,571PC,4.358,8.716
571AA,571PD,5.833,11.666
571AA,571AJ,7.434,14.868
571AA,571KJ,6.577,13.154
571AA,571PF,6.474,12.948
571AA,571PG,17.496,34.992
571AA,571PH,5.915,11.83
571AA,571AE,15.921,31.842
571AA,571HP,18.941,37.882
571AA,571QF,15.311,30.622
571AA,571QA,9.444,18.888
571AA,571QC,16.617,33.234
571AA,571QD,12.811,25.622
571AA,571QE,14.525,29.05
571AA,571QM,37.327,79.654
571AA,571L,85.043,170.086
571AA,571LA,83.555,167.11
571AA,571SF,158.443,316.886
571AA,571SA,137.047,274.094
571AA,571SE,132.028,264.056
571AA,571SP,152.62,305.24
571AA,571SQ,111.88,223.76
571AA,571ST,126.054,252.108
571AA,571NB,19.385,38.77
571AA,571NH,21.98,43.96
571AA,571QB,26.977,53.954
571AA,571FX,20.365,45.73
571AA,571KM,21.802,48.604
571AA,571TC,34.735,69.47
571AA,571TB,23.463,46.926
571AA,571TE,30.102,60.204
571AA,571TK,21.177,42.354
571AA,571TP,32.156,64.312
571AA,571W,27.026,54.052
571AA,571WA,29.007,63.014
571AA,571WW,36.299,77.598
571AD,571AA,7.418,14.836
571AD,571AF,5.613,11.226
571AD,571AG,12.302,24.604
571AD,571AC,22.88,45.76
571AD,571AQ,32.518,65.036
571AD,571AM,11.995,23.99
571AD,571AB,53.984,107.968
571AD,571JC,55.206,110.412
571AD,571KH,64.721,129.442
571AD,571TH,88.319,176.638
571AD,571TL,43.02,86.04
571AD,571DA,8.641,17.282
571AD,571K,8.99,17.98
571AD,571KF,6.232,12.464
571AD,571KC,11.614,23.228
571AD,571TD,14.2,28.4
571AD,571TN,15.35,30.7
571AD,571HC,14.719,29.438
571AD,571TM,12.726,25.452
571AD,571B,4.242,8.484
571AD,571BM,10.152,20.304
571AD,571CAE,17.88,40.76
571AD,571FC,22.78,50.56
571AD,571FN,26.288,57.576
571AD,571LD,20.331,45.662
571AD,571FT,19.396,43.792
571AD,571KB,18.011,41.022
571AD,571CS,7.75,15.5
571AD,571D,3.837,7.674
571AD,571DC,9.642,19.284
571AD,571CC,31.371,67.742
571AD,571FQ,36.084,77.168
571AD,571HK,32.132,69.264
571AD,571E,8.665,17.33
571AD,571EA,10.199,20.398
571AD,571HB,22.691,45.382
571AD,571KT,23.031,46.062
571AD,571DB,7.2,14.4
571AD,571DJ,3.415,6.83
571AD,571H,24.826,49.652
571AD,571TF,23.572,47.144
571AD,571TQ,21.33,42.66
571AD,571FF,19.488,43.976
571AD,571FH,24.319,53.638
571AD,571FL,21.945,48.89
571AD,571FJ,121.642,243.284
571AD,571SC,103.654,207.308
571AD,571FG,61.389,127.778
571AD,571MQ,43.386,91.772
571AD,571NF,10.092,20.184
571AD,571NG,20.345,40.69
571AD,571FA,24.308,53.616
571AD,571FP,22.911,50.822
