from,to,dist,time
571AA,571AD,10.119,13.492
571AA,571AF,6.543,8.724
571AA,571AG,19.269,25.692
571AA,571AC,27.293,36.39066667
571AA,571AQ,36.776,49.03466667
571AA,571AM,8.363,11.15066667
571AA,571AB,49.323,65.764
571AA,571JC,50.545,67.39333333
571AA,571KH,60.06,80.08
571AA,571TH,83.658,111.544
571AA,571TL,38.359,51.14533333
571AA,571DA,18.91,25.21333333
571AA,571K,13.403,17.87066667
571AA,571KF,15.336,20.448
571AA,571KC,20.007,26.676
571AA,571TD,20.497,27.32933333
571AA,571TN,24.176,32.23466667
571AA,571HC,19.132,25.50933333
571AA,571TM,17.139,22.852
571AA,571B,7.805,10.40666667
571AA,571BM,3.33,4.44
571AA,571CAE,11.058,14.744
571AA,571FC,15.788,21.05066667
571AA,571FN,20.16,26.88
571AA,571LD,12.443,16.59066667
571AA,571FT,12.574,16.76533333
571AA,571KB,11.189,14.91866667
571AA,571CS,2.278,3.037333333
571AA,571D,12.267,16.356
571AA,571DC,16.609,22.14533333
571AA,571CC,24.379,32.50533333
571AA,571FQ,25.869,34.492
571AA,571HK,25.31,33.74666667
571AA,571E,1.843,2.457333333
571AA,571EA,3.377,4.502666667
571AA,571HB,27.104,36.13866667
571AA,571KT,27.444,36.592
571AA,571DB,16.403,21.87066667
571AA,571DJ,12.008,16.01066667
571AA,571H,32.435,43.24666667
571AA,571TF,29.567,39.42266667
571AA,571TQ,27.04,36.05333333
571AA,571FF,12.666,16.888
571AA,571FH,17.497,23.32933333
571AA,571FL,15.123,20.164
571AA,571FJ,96.365,128.4866667
571AA,571SC,96.832,129.1093333
571AA,571FG,62.343,83.124
571AA,571MQ,47.239,62.98533333
571AA,571NF,16.784,22.37866667
571AA,571NG,27.037,36.04933333
571AA,571FA,18.18,24.24
571AA,571FP,17.124,22.832
571AA,571HJ,12.164,16.21866667
571AA,571LB,18.675,24.9
571AA,571QKA,16.921,22.56133333
571AA,571QKB,35.051,46.73466667
571AA,571QKC,15.455,20.60666667
571AA,571QKD,27.206,36.27466667
571AA,571QKE,12.563,16.75066667
571AA,571QKF,8.355,11.14
571AA,571QKG,22.838,30.45066667
571AA,571QKT,0,0
571AA,571FM,12.21,16.28
571AA,571FD,37.219,49.62533333
571AA,571FR,25.248,33.664
571AA,571FS,49.001,65.33466667
571AA,571LH,26.956,35.94133333
571AA,571SH,39.046,52.06133333
571AA,571FK,64.1,85.46666667
571AA,571G,42.245,56.32666667
571AA,571GB,33.3,44.4
571AA,571GC,49.783,66.37733333
571AA,571HG,54.092,72.12266667
571AA,571SB,42.294,56.392
571AA,571SD,39.125,52.16666667
571AA,571CK,11.279,15.03866667
571AA,571CL,12.805,17.07333333
571AA,571FB,13.069,17.42533333
571AA,571CD,10.019,13.35866667
571AA,571HN,14.943,19.924
571AA,571J,6.711,8.948
571AA,571JB,9.086,12.11466667
571AA,571KA,8.746,11.66133333
571AA,571KL,7.712,10.28266667
571AA,571FE,41.636,55.51466667
571AA,571MC,36.342,48.456
571AA,571MF,35.05,46.73333333
571AA,571M,35.792,47.72266667
571AA,571MB,31.181,41.57466667
571AA,571MD,47.093,62.79066667
571AA,571NA,30.777,41.036
571AA,571NE,24.486,32.648
571AA,571NC,16.17,21.56
571AA,571P,4.516,6.021333333
571AA,571PB,5.9,7.866666667
571AA,571PC,4.358,5.810666667
571AA,571PD,5.833,7.777333333
571AA,571AJ,7.434,9.912
571AA,571KJ,6.577,8.769333333
571AA,571PF,6.474,8.632
571AA,571PG,17.496,23.328
571AA,571PH,5.915,7.886666667
571AA,571AE,15.921,21.228
571AA,571HP,18.941,25.25466667
571AA,571QF,15.311,20.41466667
571AA,571QA,9.444,12.592
571AA,571QC,16.617,22.156
571AA,571QD,12.811,17.08133333
571AA,571QE,14.525,19.36666667
571AA,571QM,37.327,49.76933333
571AA,571L,85.043,113.3906667
571AA,571LA,83.555,111.4066667
571AA,571SF,158.443,211.2573333
571AA,571SA,137.047,182.7293333
571AA,571SE,132.028,176.0373333
571AA,571SP,152.62,203.4933333
571AA,571SQ,111.88,149.1733333
571AA,571ST,126.054,168.072
571AA,571NB,19.385,25.84666667
571AA,571NH,21.98,29.30666667
571AA,571QB,26.977,35.96933333
571AA,571FX,20.365,27.15333333
571AA,571KM,21.802,29.06933333
571AA,571TC,34.735,46.31333333
571AA,571TB,23.463,31.284
571AA,571TE,30.102,40.136
571AA,571TK,21.177,28.236
571AA,571TP,32.156,42.87466667
571AA,571W,27.026,36.03466667
571AA,571WA,29.007,38.676
571AA,571WW,36.299,48.39866667
571AD,571AA,7.418,9.890666667
571AD,571AF,5.613,7.484
571AD,571AG,12.302,16.40266667
571AD,571AC,22.88,30.50666667
571AD,571AQ,32.518,43.35733333
571AD,571AM,11.995,15.99333333
571AD,571AB,53.984,71.97866667
571AD,571JC,55.206,73.608
571AD,571KH,64.721,86.29466667
571AD,571TH,88.319,117.7586667
571AD,571TL,43.02,57.36
571AD,571DA,8.641,11.52133333
571AD,571K,8.99,11.98666667
571AD,571KF,6.232,8.309333333
571AD,571KC,11.614,15.48533333
571AD,571TD,14.2,18.93333333
571AD,571TN,15.35,20.46666667
571AD,571HC,14.719,19.62533333
571AD,571TM,12.726,16.968
571AD,571B,4.242,5.656
571AD,571BM,10.152,13.536
571AD,571CAE,17.88,23.84
571AD,571FC,22.78,30.37333333
571AD,571FN,26.288,35.05066667
571AD,571LD,20.331,27.108
571AD,571FT,19.396,25.86133333
571AD,571KB,18.011,24.01466667
571AD,571CS,7.75,10.33333333
571AD,571D,3.837,5.116
571AD,571DC,9.642,12.856
571AD,571CC,31.371,41.828
571AD,571FQ,36.084,48.112
571AD,571HK,32.132,42.84266667
571AD,571E,8.665,11.55333333
571AD,571EA,10.199,13.59866667
571AD,571HB,22.691,30.25466667
571AD,571KT,23.031,30.708
571AD,571DB,7.2,9.6
571AD,571DJ,3.415,4.553333333
571AD,571H,24.826,33.10133333
571AD,571TF,23.572,31.42933333
571AD,571TQ,21.33,28.44
571AD,571FF,19.488,25.984
571AD,571FH,24.319,32.42533333
571AD,571FL,21.945,29.26
571AD,571FJ,121.642,162.1893333
571AD,571SC,103.654,138.2053333
571AD,571FG,61.389,81.852
571AD,571MQ,43.386,57.848
571AD,571NF,10.092,13.456
571AD,571NG,20.345,27.12666667
571AD,571FA,24.308,32.41066667
571AD,571FP,22.911,30.548
571AD,571HJ,20.052,26.736
571AD,571LB,20.814,27.752
571AD,571QKA,10.229,13.63866667
571AD,571QKB,37.031,49.37466667
571AD,571QKC,22.055,29.40666667
571AD,571QKD,22.793,30.39066667
571AD,571QKE,19.385,25.84666667
571AD,571QKF,11.987,15.98266667
571AD,571QKG,23.605,31.47333333
571AD,571QKT,0,0
571AD,571FM,19.032,25.376
571AD,571FD,48.875,65.16666667
571AD,571FR,32.07,42.76
571AD,571FS,60.657,80.876
571AD,571LH,35.398,47.19733333
571AD,571SH,45.868,61.15733333
571AD,571FK,70.922,94.56266667
571AD,571G,49.067,65.42266667
571AD,571GB,40.122,53.496
571AD,571GC,56.605,75.47333333
571AD,571HG,60.914,81.21866667
571AD,571SB,49.116,65.488
571AD,571SD,45.947,61.26266667
571AD,571CK,19.167,25.556
571AD,571CL,19.627,26.16933333
571AD,571FB,19.891,26.52133333
571AD,571CD,10.193,13.59066667
571AD,571HN,17.196,22.928
571AD,571J,6.92,9.226666667
571AD,571JB,6.343,8.457333333
571AD,571KA,7.162,9.549333333
571AD,571KL,5.631,7.508
571AD,571FE,37.783,50.37733333
571AD,571MC,32.489,43.31866667
571AD,571MF,35.297,47.06266667
571AD,571M,37.772,50.36266667
571AD,571MB,34.975,46.63333333
571AD,571MD,49.073,65.43066667
571AD,571NA,23.81,31.74666667
571AD,571NE,17.519,23.35866667
571AD,571NC,11.757,15.676
571AD,571P,8.539,11.38533333
571AD,571PB,13.514,18.01866667
571AD,571PC,8.596,11.46133333
571AD,571PD,12.655,16.87333333
571AD,571AJ,8.455,11.27333333
571AD,571KJ,7.85,10.46666667
571AD,571PF,14.325,19.1
571AD,571PG,24.318,32.424
571AD,571PH,11.762,15.68266667
571AD,571AE,21.522,28.696
571AD,571HP,19.938,26.584
571AD,571QF,21.911,29.21466667
571AD,571QA,4.029,5.372
571AD,571QC,9.65,12.86666667
571AD,571QD,6.79,9.053333333
571AD,571QE,7.547,10.06266667
571AD,571QM,39.307,52.40933333
571AD,571L,91.865,122.4866667
571AD,571LA,90.377,120.5026667
571AD,571SF,165.265,220.3533333
571AD,571SA,143.869,191.8253333
571AD,571SE,138.85,185.1333333
571AD,571SP,159.442,212.5893333
571AD,571SQ,118.702,158.2693333
571AD,571ST,132.876,177.168
571AD,571NB,24.1,32.13333333
571AD,571NH,22.747,30.32933333
571AD,571QB,31.638,42.184
571AD,571FX,25.756,34.34133333
571AD,571KM,23.858,31.81066667
571AD,571TC,26.231,34.97466667
571AD,571TB,11.127,14.836
571AD,571TE,23.41,31.21333333
571AD,571TK,12.784,17.04533333
571AD,571TP,23.652,31.536
571AD,571W,22.613,30.15066667
571AD,571WA,32.801,43.73466667
571AD,571WW,38.279,51.03866667
571AF,571AA,2.837,3.782666667
571AF,571AD,4.719,6.292
571AF,571AG,17.993,23.99066667
571AF,571AC,22.112,29.48266667
571AF,571AQ,29.241,38.988
571AF,571AM,5.693,7.590666667
571AF,571AB,48.672,64.896
571AF,571JC,49.894,66.52533333
571AF,571KH,59.409,79.212
571AF,571TH,83.007,110.676
571AF,571TL,37.708,50.27733333
571AF,571DA,13.729,18.30533333
571AF,571K,8.222,10.96266667
571AF,571KF,10.155,13.54
571AF,571KC,14.826,19.768
571AF,571TD,15.316,20.42133333
571AF,571TN,18.995,25.32666667
571AF,571HC,13.951,18.60133333
571AF,571TM,11.958,15.944
571AF,571B,3.785,5.046666667
571AF,571BM,5.571,7.428
571AF,571CAE,13.299,17.732
571AF,571FC,15.533,20.71066667
571AF,571FN,20.801,27.73466667
