id,fromDep,toDep,Total,start,end
1,571D,571FA,403,0,120
1,571D,571KB,324,0,120
1,571D,571KJ,392,0,120
1,571D,571NC,330,0,120
1,571D,571P,539,0,120
1,571D,571QC,322,0,120
1,571D,571QKC,91,0,120
1,571D,571QKF,66,0,120
1,571FA,571D,224,0,120
1,571FA,571KB,289,0,120
1,571FA,571KJ,314,0,120
1,571FA,571NC,263,0,120
1,571FA,571P,538,0,120
1,571FA,571QC,256,0,120
1,571FA,571QKC,89,0,120
1,571FA,571QKF,59,0,120
1,571KB,571D,459,0,120
1,571KB,571FA,578,0,120
1,571KB,571KJ,868,0,120
1,571KB,571NC,482,0,120
1,571KB,571P,1030,0,120
1,571KB,571QC,563,0,120
1,571KB,571QKC,211,0,120
1,571KB,571QKF,121,0,120
1,571KJ,571D,295,0,120
1,571KJ,571FA,398,0,120
1,571KJ,571KB,390,0,120
1,571KJ,571NC,332,0,120
1,571KJ,571P,761,0,120
1,571KJ,571QC,408,0,120
1,571KJ,571QKC,114,0,120
1,571KJ,571QKF,79,0,120
1,571NC,571D,247,0,120
1,571NC,571FA,342,0,120
1,571NC,571KB,253,0,120
1,571NC,571KJ,269,0,120
1,571NC,571P,451,0,120
1,571NC,571QC,266,0,120
1,571NC,571QKC,75,0,120
1,571NC,571QKF,61,0,120
1,571P,571D,515,0,120
1,571P,571FA,765,0,120
1,571P,571KB,615,0,120
1,571P,571KJ,902,0,120
1,571P,571NC,661,0,120
1,571P,571QC,620,0,120
1,571P,571QKC,163,0,120
1,571P,571QKF,139,0,120
1,571QC,571D,255,0,120
1,571QC,571FA,333,0,120
1,571QC,571KB,269,0,120
1,571QC,571KJ,388,0,120
1,571QC,571NC,274,0,120
1,571QC,571P,509,0,120
1,571QC,571QKC,88,0,120
1,571QC,571QKF,62,0,120
1,571QKC,571D,65,0,120
1,571QKC,571FA,77,0,120
1,571QKC,571KB,77,0,120
1,571QKC,571KJ,133,0,120
1,571QKC,571NC,68,0,120
1,571QKC,571P,148,0,120
1,571QKC,571QC,90,0,120
1,571QKC,571QKF,22,0,120
1,571QKF,571D,55,0,120
1,571QKF,571FA,71,0,120
1,571QKF,571KB,61,0,120
1,571QKF,571KJ,72,0,120
1,571QKF,571NC,60,0,120
1,571QKF,571P,103,0,120
1,571QKF,571QC,61,0,120
1,571QKF,571QKC,18,0,120
