id,fromDepot,toDepot,Total,start,end
1,571D,571FA,353,0,80
1,571D,571NC,511,0,80
1,571D,571QKA,541,0,80
1,571D,571QKC,631,0,80
1,571D,571QKE,942,0,80
1,571D,571QKF,1047,0,80
1,571FA,571D,216,0,80
1,571FA,571NC,144,0,80
1,571FA,571QKA,142,0,80
1,571FA,571QKC,124,0,80
1,571FA,571QKE,296,0,80
1,571FA,571QKF,292,0,80
1,571NC,571D,377,0,80
1,571NC,571FA,202,0,80
1,571NC,571QKA,247,0,80
1,571NC,571QKC,237,0,80
1,571NC,571QKE,377,0,80
1,571NC,571QKF,459,0,80
1,571QKA,571D,440,0,80
1,571QKA,571FA,200,0,80
1,571QKA,571NC,256,0,80
1,571QKA,571QKC,338,0,80
1,571QKA,571QKE,435,0,80
1,571QKA,571QKF,511,0,80
1,571QKC,571D,387,0,80
1,571QKC,571FA,118,0,80
1,571QKC,571NC,185,0,80
1,571QKC,571QKA,256,0,80
1,571QKC,571QKE,422,0,80
1,571QKC,571QKF,568,0,80
1,571QKE,571D,874,0,80
1,571QKE,571FA,405,0,80
1,571QKE,571NC,473,0,80
1,571QKE,571QKA,487,0,80
1,571QKE,571QKC,677,0,80
1,571QKE,571QKF,1224,0,80
1,571QKF,571D,943,0,80
1,571QKF,571FA,434,0,80
1,571QKF,571NC,578,0,80
1,571QKF,571QKA,537,0,80
1,571QKF,571QKC,689,0,80
1,571QKF,571QKE,998,0,80
