id,from,fromDep,vol,start,end
1,571AA,571P,381,0,120
1,571AC,571NC,403,0,120
1,571AD,571D,859,0,120
1,571AE,571QKC,185,0,120
1,571AF,571P,405,0,120
1,571AG,571QC,460,0,120
1,571AJ,571KJ,262,0,120
1,571AM,571QKF,189,0,120
1,571AQ,571FA,132,0,120
1,571B,571KJ,689,0,120
1,571BM,571P,491,0,120
1,571CAE,571KB,2495,0,120
1,571CC,571FA,218,0,120
1,571CD,571KJ,345,0,120
1,571CK,571FA,305,0,120
1,571CL,571KB,265,0,120
1,571CS,571P,433,0,120
1,571DA,571D,238,0,120
1,571DB,571D,244,0,120
1,571DC,571QC,482,0,120
1,571DJ,571D,347,0,120
1,571E,571P,532,0,120
1,571EA,571P,173,0,120
1,571FB,571KB,189,0,120
1,571FC,571FA,257,0,120
1,571FF,571KB,243,0,120
1,571FH,571KB,207,0,120
1,571FL,571KB,123,0,120
1,571FM,571KB,289,0,120
1,571FN,571FA,207,0,120
1,571FP,571FA,147,0,120
1,571FQ,571FA,231,0,120
1,571FT,571KB,588,0,120
1,571FX,571FA,115,0,120
1,571HB,571NC,211,0,120
1,571HC,571NC,274,0,120
1,571HJ,571FA,193,0,120
1,571HK,571FA,74,0,120
1,571HN,571QKC,241,0,120
1,571J,571KJ,397,0,120
1,571JB,571KJ,586,0,120
1,571K,571NC,240,0,120
1,571KA,571QKF,314,0,120
1,571KF,571D,258,0,120
1,571KL,571KJ,298,0,120
1,571KM,571FA,208,0,120
1,571KT,571NC,274,0,120
1,571LB,571FA,167,0,120
1,571LD,571FA,132,0,120
1,571LH,571FA,82,0,120
1,571NF,571QC,279,0,120
1,571PB,571P,1018,0,120
1,571PC,571P,575,0,120
1,571PD,571P,378,0,120
1,571PF,571P,205,0,120
1,571PG,571KB,387,0,120
1,571PH,571P,983,0,120
1,571QA,571KJ,272,0,120
1,571QD,571QC,504,0,120
1,571QE,571QC,540,0,120
1,571QF,571QKC,264,0,120
1,571QKA,571QC,16,0,120
1,571QKD,571NC,5,0,120
1,571QKE,571KB,9,0,120
1,571TD,571NC,148,0,120
1,571TM,571NC,230,0,120
1,571W,571NC,52,0,120
