id,toDepot,to,Total,start,end
1,571D,571AD,620,0,90
1,571D,571B,495,0,90
1,571D,571DA,201,0,90
1,571D,571DB,187,0,90
1,571D,571DJ,248,0,90
1,571D,571J,269,0,90
1,571D,571JB,552,0,90
1,571D,571KF,235,0,90
1,571D,571KL,417,0,90
1,571D,571QA,319,0,90
1,571FA,571AQ,192,0,90
1,571FA,571CC,195,0,90
1,571FA,571FN,238,0,90
1,571FA,571FP,180,0,90
1,571FA,571FQ,231,0,90
1,571FA,571FX,125,0,90
1,571FA,571HK,110,0,90
1,571FA,571KM,269,0,90
1,571FA,571LB,172,0,90
1,571FA,571LH,85,0,90
1,571NC,571AC,508,0,90
1,571NC,571HB,315,0,90
1,571NC,571HC,248,0,90
1,571NC,571K,281,0,90
1,571NC,571KT,293,0,90
1,571NC,571QKD,31,0,90
1,571NC,571TD,166,0,90
1,571NC,571TM,174,0,90
1,571QKA,571AG,402,0,90
1,571QKA,571DC,441,0,90
1,571QKA,571NF,224,0,90
1,571QKA,571QC,306,0,90
1,571QKA,571QD,599,0,90
1,571QKA,571QE,459,0,90
1,571QKC,571AE,237,0,90
1,571QKC,571AJ,387,0,90
1,571QKC,571CD,448,0,90
1,571QKC,571HN,384,0,90
1,571QKC,571KJ,711,0,90
1,571QKC,571PG,536,0,90
1,571QKC,571QF,296,0,90
1,571QKE,571CK,469,0,90
1,571QKE,571CL,381,0,90
1,571QKE,571FB,278,0,90
1,571QKE,571FC,300,0,90
1,571QKE,571FF,466,0,90
1,571QKE,571FH,148,0,90
1,571QKE,571FL,176,0,90
1,571QKE,571FM,503,0,90
1,571QKE,571FT,137,0,90
1,571QKE,571HJ,174,0,90
1,571QKE,571KB,437,0,90
1,571QKE,571LD,153,0,90
1,571QKE,571PD,558,0,90
1,571QKE,571PF,369,0,90
1,571QKF,571AA,337,0,90
1,571QKF,571AF,444,0,90
1,571QKF,571AM,154,0,90
1,571QKF,571BM,546,0,90
1,571QKF,571CS,442,0,90
1,571QKF,571E,512,0,90
1,571QKF,571EA,268,0,90
1,571QKF,571KA,410,0,90
1,571QKF,571P,113,0,90
1,571QKF,571PB,1233,0,90
1,571QKF,571PC,461,0,90
1,571QKF,571PH,502,0,90
