id,from,fromDepot,Total,start,end
1,571AD,571D,253,0,90
1,571B,571D,146,0,90
1,571CK,571QKE,137,0,90
1,571CL,571QKE,86,0,90
1,571DB,571D,70,0,90
1,571DJ,571D,101,0,90
1,571FB,571QKE,76,0,90
1,571FC,571QKE,76,0,90
1,571FF,571QKE,93,0,90
1,571FM,571QKE,93,0,90
1,571J,571D,156,0,90
1,571JB,571D,222,0,90
1,571KB,571QKE,102,0,90
1,571KF,571D,69,0,90
1,571KL,571D,113,0,90
1,571PD,571QKE,128,0,90
1,571PF,571QKE,69,0,90
1,571QA,571D,75,0,90
1,571D,571QKE,742,165,250
1,571QKE,571D,427,165,250
1,571D,571AD,174,270,360
1,571D,571B,146,270,360
1,571D,571DB,66,270,360
1,571D,571DJ,71,270,360
1,571D,571J,86,270,360
1,571D,571JB,175,270,360
1,571D,571KF,60,270,360
1,571D,571KL,120,270,360
1,571D,571QA,105,270,360
1,571QKE,571CK,164,270,360
1,571QKE,571CL,119,270,360
1,571QKE,571FB,84,270,360
1,571QKE,571FC,104,270,360
1,571QKE,571FF,143,270,360
1,571QKE,571FM,137,270,360
1,571QKE,571KB,145,270,360
1,571QKE,571PD,169,270,360
1,571QKE,571PF,110,270,360
