id,toDepot,to,Total,start,end
1,571D,571AD,591,270,360
1,571D,571B,501,270,360
1,571D,571DA,190,270,360
1,571D,571DB,187,270,360
1,571D,571DJ,242,270,360
1,571D,571J,260,270,360
1,571D,571JB,565,270,360
1,571D,571KF,226,270,360
1,571D,571KL,416,270,360
1,571D,571QA,307,270,360
1,571FA,571CC,187,270,360
1,571FA,571FN,234,270,360
1,571FA,571FP,178,270,360
1,571FA,571FQ,232,270,360
1,571FA,571FX,124,270,360
1,571FA,571HK,101,270,360
1,571FA,571KM,270,270,360
1,571FA,571LB,163,270,360
1,571FA,571LH,82,270,360
1,571NC,571AC,511,270,360
1,571NC,571AQ,170,270,360
1,571NC,571HB,306,270,360
1,571NC,571HC,238,270,360
1,571NC,571K,270,270,360
1,571NC,571KT,268,270,360
1,571NC,571TD,166,270,360
1,571NC,571TM,163,270,360
1,571QKA,571AG,410,270,360
1,571QKA,571DC,455,270,360
1,571QKA,571NF,221,270,360
1,571QKA,571QC,296,270,360
1,571QKA,571QD,591,270,360
1,571QKA,571QE,454,270,360
1,571QKC,571AE,225,270,360
1,571QKC,571AJ,366,270,360
1,571QKC,571CD,437,270,360
1,571QKC,571HN,360,270,360
1,571QKC,571KJ,731,270,360
1,571QKC,571PG,534,270,360
1,571QKC,571QF,288,270,360
1,571QKE,571CK,475,270,360
1,571QKE,571CL,354,270,360
1,571QKE,571FB,258,270,360
1,571QKE,571FC,295,270,360
1,571QKE,571FF,446,270,360
1,571QKE,571FH,136,270,360
1,571QKE,571FL,150,270,360
1,571QKE,571FM,453,270,360
1,571QKE,571FT,123,270,360
1,571QKE,571HJ,165,270,360
1,571QKE,571KB,444,270,360
1,571QKE,571LD,141,270,360
1,571QKE,571PD,566,270,360
1,571QKF,571AA,331,270,360
1,571QKF,571AF,444,270,360
1,571QKF,571AM,148,270,360
1,571QKF,571BM,560,270,360
1,571QKF,571CS,448,270,360
1,571QKF,571E,530,270,360
1,571QKF,571EA,262,270,360
1,571QKF,571KA,396,270,360
1,571QKF,571P,109,270,360
1,571QKF,571PB,1321,270,360
1,571QKF,571PC,465,270,360
1,571QKF,571PF,363,270,360
1,571QKF,571PH,515,270,360
1,571D,571FA,329,165,250
1,571D,571NC,580,165,250
1,571D,571QKA,586,165,250
1,571D,571QKC,688,165,250
1,571D,571QKE,925,165,250
1,571D,571QKF,1223,165,250
1,571FA,571D,199,165,250
1,571FA,571NC,142,165,250
1,571FA,571QKA,130,165,250
1,571FA,571QKC,113,165,250
1,571FA,571QKE,271,165,250
1,571FA,571QKF,289,165,250
1,571NC,571D,407,165,250
1,571NC,571FA,183,165,250
1,571NC,571QKA,272,165,250
1,571NC,571QKC,254,165,250
1,571NC,571QKE,375,165,250
1,571NC,571QKF,532,165,250
1,571QKA,571D,470,165,250
1,571QKA,571FA,180,165,250
1,571QKA,571NC,292,165,250
1,571QKA,571QKC,368,165,250
1,571QKA,571QKE,428,165,250
1,571QKA,571QKF,588,165,250
1,571QKC,571D,409,165,250
1,571QKC,571FA,109,165,250
1,571QKC,571NC,195,165,250
1,571QKC,571QKA,274,165,250
1,571QKC,571QKE,410,165,250
1,571QKC,571QKF,646,165,250
1,571QKE,571D,562,165,250
1,571QKE,571FA,269,165,250
1,571QKE,571NC,282,165,250
1,571QKE,571QKA,320,165,250
1,571QKE,571QKC,410,165,250
1,571QKE,571QKF,1001,165,250
1,571QKF,571D,1081,165,250
1,571QKF,571FA,428,165,250
1,571QKF,571NC,678,165,250
1,571QKF,571QKA,603,165,250
1,571QKF,571QKC,777,165,250
1,571QKF,571QKE,1016,165,250
