id,fromDepot,toDepot,Total,start,end
1,571D,571FA,329,165,250
1,571D,571K,580,165,250
1,571D,571QKA,577,165,250
1,571D,571QKC,680,165,250
1,571D,571QKE,920,165,250
1,571D,571QKF,1213,165,250
1,571FA,571D,199,165,250
1,571FA,571K,142,165,250
1,571FA,571QKA,125,165,250
1,571FA,571QKC,111,165,250
1,571FA,571QKE,269,165,250
1,571FA,571QKF,283,165,250
1,571K,571D,407,165,250
1,571K,571FA,183,165,250
1,571K,571QKA,266,165,250
1,571K,571QKC,247,165,250
1,571K,571QKE,373,165,250
1,571K,571QKF,527,165,250
1,571QKA,571D,470,165,250
1,571QKA,571FA,179,165,250
1,571QKA,571K,290,165,250
1,571QKA,571QKC,361,165,250
1,571QKA,571QKE,421,165,250
1,571QKA,571QKF,581,165,250
1,571QKC,571D,409,165,250
1,571QKC,571FA,108,165,250
1,571QKC,571K,195,165,250
1,571QKC,571QKA,270,165,250
1,571QKC,571QKE,404,165,250
1,571QKC,571QKF,640,165,250
1,571QKE,571D,562,165,250
1,571QKE,571FA,269,165,250
1,571QKE,571K,282,165,250
1,571QKE,571QKA,310,165,250
1,571QKE,571QKC,400,165,250
1,571QKE,571QKF,992,165,250
1,571QKF,571D,1080,165,250
1,571QKF,571FA,428,165,250
1,571QKF,571K,676,165,250
1,571QKF,571QKA,593,165,250
1,571QKF,571QKC,767,165,250
1,571QKF,571QKE,1009,165,250
1,571D,571AD,591,270,360
1,571D,571B,501,270,360
1,571D,571DA,190,270,360
1,571D,571DB,187,270,360
1,571D,571DJ,242,270,360
1,571D,571J,260,270,360
1,571D,571JB,565,270,360
1,571D,571KF,226,270,360
1,571D,571KL,415,270,360
1,571D,571QA,307,270,360
1,571FA,571CC,187,270,360
1,571FA,571FN,234,270,360
1,571FA,571FP,178,270,360
1,571FA,571FQ,232,270,360
1,571FA,571FX,124,270,360
1,571FA,571HK,101,270,360
1,571FA,571KM,270,270,360
1,571FA,571LB,162,270,360
1,571FA,571LH,82,270,360
1,571K,571AC,511,270,360
1,571K,571AQ,168,270,360
1,571K,571HB,305,270,360
1,571K,571HC,238,270,360
1,571K,571KT,268,270,360
1,571K,571NC,442,270,360
1,571K,571TD,166,270,360
1,571K,571TM,163,270,360
1,571QKA,571AG,408,270,360
1,571QKA,571DC,454,270,360
1,571QKA,571NF,221,270,360
1,571QKA,571QC,296,270,360
1,571QKA,571QD,591,270,360
1,571QKA,571QE,454,270,360
1,571QKC,571AE,225,270,360
1,571QKC,571AJ,365,270,360
1,571QKC,571CD,436,270,360
1,571QKC,571HN,359,270,360
1,571QKC,571KJ,731,270,360
1,571QKC,571PG,533,270,360
1,571QKC,571QF,288,270,360
1,571QKE,571CK,475,270,360
1,571QKE,571CL,354,270,360
1,571QKE,571FB,258,270,360
1,571QKE,571FC,295,270,360
1,571QKE,571FF,445,270,360
1,571QKE,571FH,136,270,360
1,571QKE,571FL,150,270,360
1,571QKE,571FM,451,270,360
1,571QKE,571FT,122,270,360
1,571QKE,571HJ,165,270,360
1,571QKE,571KB,444,270,360
1,571QKE,571LD,140,270,360
1,571QKE,571PD,566,270,360
1,571QKF,571AA,331,270,360
1,571QKF,571AF,444,270,360
1,571QKF,571AM,148,270,360
1,571QKF,571BM,560,270,360
1,571QKF,571CS,448,270,360
1,571QKF,571E,529,270,360
1,571QKF,571EA,261,270,360
1,571QKF,571KA,396,270,360
1,571QKF,571P,109,270,360
1,571QKF,571PB,1319,270,360
1,571QKF,571PC,465,270,360
1,571QKF,571PF,363,270,360
1,571QKF,571PH,515,270,360
