id,from,fromDepot,Total,start,end
1,571AA,571QKF,399,0,90
1,571AC,571K,519,0,90
1,571AD,571D,1008,0,90
1,571AE,571QKC,196,0,90
1,571AF,571QKF,460,0,90
1,571AG,571QKA,395,0,90
1,571AJ,571QKC,308,0,90
1,571AM,571QKF,194,0,90
1,571AQ,571K,102,0,90
1,571B,571D,461,0,90
1,571BM,571QKF,495,0,90
1,571CC,571FA,123,0,90
1,571CD,571QKC,399,0,90
1,571CK,571QKE,469,0,90
1,571CL,571QKE,271,0,90
1,571CS,571QKF,524,0,90
1,571DA,571D,139,0,90
1,571DB,571D,233,0,90
1,571DC,571QKA,574,0,90
1,571DJ,571D,353,0,90
1,571E,571QKF,589,0,90
1,571EA,571QKF,162,0,90
1,571FB,571QKE,225,0,90
1,571FC,571QKE,242,0,90
1,571FF,571QKE,270,0,90
1,571FH,571QKE,178,0,90
1,571FL,571QKE,90,0,90
1,571FM,571QKE,303,0,90
1,571FN,571FA,152,0,90
1,571FP,571FA,159,0,90
1,571FQ,571FA,261,0,90
1,571FT,571QKE,392,0,90
1,571FX,571FA,99,0,90
1,571HB,571K,237,0,90
1,571HC,571K,298,0,90
1,571HJ,571QKE,135,0,90
1,571HK,571FA,68,0,90
1,571HN,571QKC,285,0,90
1,571J,571D,459,0,90
1,571JB,571D,693,0,90
1,571KA,571QKF,316,0,90
1,571KB,571QKE,299,0,90
1,571KF,571D,257,0,90
1,571KJ,571QKC,550,0,90
1,571KL,571D,382,0,90
1,571KM,571FA,185,0,90
1,571KT,571K,236,0,90
1,571LB,571FA,132,0,90
1,571LD,571QKE,111,0,90
1,571LH,571FA,62,0,90
1,571NC,571K,435,0,90
1,571NF,571QKA,291,0,90
1,571P,571QKF,188,0,90
1,571PB,571QKF,1197,0,90
1,571PC,571QKF,587,0,90
1,571PD,571QKE,435,0,90
1,571PF,571QKF,237,0,90
1,571PG,571QKC,384,0,90
1,571PH,571QKF,857,0,90
1,571QA,571D,248,0,90
1,571QC,571QKA,194,0,90
1,571QD,571QKA,611,0,90
1,571QE,571QKA,520,0,90
1,571QF,571QKC,275,0,90
1,571TD,571K,124,0,90
1,571TM,571K,146,0,90
