id,toDepot,to,Total,start,end
1,571D,571AD,591,250,300
1,571D,571B,501,250,300
1,571D,571DA,190,250,300
1,571D,571DB,187,250,300
1,571D,571DJ,242,250,300
1,571D,571J,260,250,300
1,571D,571JB,565,250,300
1,571D,571KF,226,250,300
1,571D,571KL,416,250,300
1,571D,571QA,307,250,300
1,571FA,571CC,187,250,300
1,571FA,571FN,234,250,300
1,571FA,571FP,178,250,300
1,571FA,571FQ,232,250,300
1,571FA,571FX,124,250,300
1,571FA,571HK,101,250,300
1,571FA,571KM,270,250,300
1,571FA,571LB,163,250,300
1,571FA,571LH,82,250,300
1,571NC,571AC,511,250,300
1,571NC,571AQ,170,250,300
1,571NC,571HB,306,250,300
1,571NC,571HC,238,250,300
1,571NC,571K,270,250,300
1,571NC,571KT,268,250,300
1,571NC,571TD,166,250,300
1,571NC,571TM,163,250,300
1,571QKA,571AG,410,250,300
1,571QKA,571DC,455,250,300
1,571QKA,571NF,221,250,300
1,571QKA,571QC,296,250,300
1,571QKA,571QD,591,250,300
1,571QKA,571QE,454,250,300
1,571QKC,571AE,225,250,300
1,571QKC,571AJ,366,250,300
1,571QKC,571CD,437,250,300
1,571QKC,571HN,360,250,300
1,571QKC,571KJ,731,250,300
1,571QKC,571PG,534,250,300
1,571QKC,571QF,288,250,300
1,571QKE,571CK,475,250,300
1,571QKE,571CL,354,250,300
1,571QKE,571FB,258,250,300
1,571QKE,571FC,295,250,300
1,571QKE,571FF,446,250,300
1,571QKE,571FH,136,250,300
1,571QKE,571FL,150,250,300
1,571QKE,571FM,453,250,300
1,571QKE,571FT,123,250,300
1,571QKE,571HJ,165,250,300
1,571QKE,571KB,444,250,300
1,571QKE,571LD,141,250,300
1,571QKE,571PD,566,250,300
1,571QKF,571AA,331,250,300
1,571QKF,571AF,444,250,300
1,571QKF,571AM,148,250,300
1,571QKF,571BM,560,250,300
1,571QKF,571CS,448,250,300
1,571QKF,571E,530,250,300
1,571QKF,571EA,262,250,300
1,571QKF,571KA,396,250,300
1,571QKF,571P,109,250,300
1,571QKF,571PB,1321,250,300
1,571QKF,571PC,465,250,300
1,571QKF,571PF,363,250,300
1,571QKF,571PH,515,250,300
1,571D,571FA,329,145,230
1,571D,571NC,580,145,230
1,571D,571QKA,586,145,230
1,571D,571QKC,688,145,230
1,571D,571QKE,925,145,230
1,571D,571QKF,1223,145,230
1,571FA,571D,199,145,230
1,571FA,571NC,142,145,230
1,571FA,571QKA,130,145,230
1,571FA,571QKC,113,145,230
1,571FA,571QKE,271,145,230
1,571FA,571QKF,289,145,230
1,571NC,571D,407,145,230
1,571NC,571FA,183,145,230
1,571NC,571QKA,272,145,230
1,571NC,571QKC,254,145,230
1,571NC,571QKE,375,145,230
1,571NC,571QKF,532,145,230
1,571QKA,571D,470,145,230
1,571QKA,571FA,180,145,230
1,571QKA,571NC,292,145,230
1,571QKA,571QKC,368,145,230
1,571QKA,571QKE,428,145,230
1,571QKA,571QKF,588,145,230
1,571QKC,571D,409,145,230
1,571QKC,571FA,109,145,230
1,571QKC,571NC,195,145,230
1,571QKC,571QKA,274,145,230
1,571QKC,571QKE,410,145,230
1,571QKC,571QKF,646,145,230
1,571QKE,571D,562,145,230
1,571QKE,571FA,269,145,230
1,571QKE,571NC,282,145,230
1,571QKE,571QKA,320,145,230
1,571QKE,571QKC,410,145,230
1,571QKE,571QKF,1001,145,230
1,571QKF,571D,1081,145,230
1,571QKF,571FA,428,145,230
1,571QKF,571NC,678,145,230
1,571QKF,571QKA,603,145,230
1,571QKF,571QKC,777,145,230
1,571QKF,571QKE,1016,145,230
1,571AA,571QKF,402,0,50
1,571AC,571NC,523,0,50
1,571AD,571D,1012,0,50
1,571AE,571QKC,199,0,50
1,571AF,571QKF,463,0,50
1,571AG,571QKA,399,0,50
1,571AJ,571QKC,310,0,50
1,571AM,571QKF,195,0,50
1,571AQ,571NC,104,0,50
1,571B,571D,463,0,50
1,571BM,571QKF,498,0,50
1,571CC,571FA,125,0,50
1,571CD,571QKC,402,0,50
