id,网点代码,代码,件量,start,end
1,571QA,FC5713911,8,0,150
1,571QA,FC5713910,7,0,150
1,571QA,FC5713907,6,0,150
1,571HN,FC5713897,7,0,150
1,571CK,FC5713896,12,0,150
1,571FH,FC5713895,3,0,150
1,571FT,FC5713893,13,0,150
1,571CL,FC5713891,4,0,150
1,571CL,FC5713890,5,0,150
1,571KF,FC5713889,6,0,150
1,571KF,FC5713888,8,0,150
1,571PG,FC5713885,13,0,150
1,571PG,FC5713883,13,0,150
1,571PG,FC5713882,13,0,150
1,571HN,FC5713880,12,0,150
1,571LB,FC5713875,11,0,150
1,571CL,FC5713874,3,0,150
1,571CL,FC5713873,3,0,150
1,571CL,FC5713872,2,0,150
1,571CL,FC5713871,3,0,150
1,571CL,FC5713870,3,0,150
1,571CL,FC5713869,2,0,150
1,571QE,FC5713868,8,0,150
1,571HJ,FC5713865,4,0,150
1,571FH,FC5713864,5,0,150
1,571FB,FC5713863,10,0,150
1,571AG,FC5713862,5,0,150
1,571AG,FC5713861,5,0,150
1,571HJ,FC5713858,2,0,150
1,571CC,FC5713856,4,0,150
1,571DB,FC5713854,13,0,150
1,571NF,FC5713853,9,0,150
1,571QA,FC5713852,6,0,150
1,571B,FC5713851,20,0,150
1,571HB,FC5713845,17,0,150
1,571NF,FC5713844,9,0,150
1,571NF,FC5713843,9,0,150
1,571NF,FC5713842,14,0,150
1,571AE,FC5713841,6,0,150
1,571AE,FC5713840,6,0,150
1,571DJ,FC5713836,8,0,150
1,571EA,FC5713835,18,0,150
1,571DJ,FC5713832,10,0,150
1,571AE,FC5713831,9,0,150
1,571CK,FC5713830,12,0,150
1,571HC,FC5713829,8,0,150
1,571HC,FC5713828,7,0,150
1,571HC,FC5713827,7,0,150
1,571HJ,FC5713825,2,0,150
1,571HJ,FC5713824,3,0,150
1,571FA,FC5713823,3,0,150
1,571FA,FC5713822,4,0,150
1,571CC,FC5713821,3,0,150
1,571K,FC5713820,8,0,150
1,571PB,FC5713819,45,0,150
1,571PB,FC5713818,34,0,150
1,571PB,FC5713817,40,0,150
1,571PB,FC5713815,45,0,150
1,571PB,FC5713814,45,0,150
1,571BM,FC5713813,38,0,150
1,571LD,FC5713812,5,0,150
1,571LD,FC5713811,4,0,150
1,571LD,FC5713805,4,0,150
1,571LD,FC5713804,4,0,150
1,571LD,FC5713803,6,0,150
1,571LD,FC5713802,6,0,150
1,571LD,FC5713801,6,0,150
1,571AC,FC5713800,8,0,150
1,571AC,FC5713799,7,0,150
1,571FC,FC5713798,4,0,150
1,571DJ,FC5713795,9,0,150
1,571DJ,FC5713794,9,0,150
1,571DJ,FC5713793,10,0,150
1,571DJ,FC5713792,10,0,150
1,571AC,FC5713791,8,0,150
1,571QD,FC5713789,8,0,150
1,571CK,FC5713788,12,0,150
1,571CL,FC5713787,5,0,150
1,571CL,FC5713786,5,0,150
1,571FN,FC5713785,15,0,150
1,571DA,FC5713784,5,0,150
1,571DA,FC5713783,5,0,150
1,571DA,FC5713782,5,0,150
1,571QD,FC5713781,8,0,150
1,571CK,FC5713780,6,0,150
1,571CK,FC5713779,9,0,150
1,571AE,FC5713778,9,0,150
1,571HN,FC5713777,9,0,150
1,571AE,FC5713776,7,0,150
1,571AE,FC5713775,7,0,150
1,571NF,FC5713770,13,0,150
1,571NF,FC5713769,13,0,150
1,571CL,FC5713767,3,0,150
1,571HJ,FC5713766,3,0,150
1,571HJ,FC5713765,3,0,150
1,571FC,FC5713764,3,0,150
1,571DA,FC5713761,3,0,150
1,571DA,FC5713760,2,0,150
1,571DA,FC5713759,3,0,150
1,571DA,FC5713758,2,0,150
1,571DA,FC5713757,2,0,150
1,571DA,FC5713755,3,0,150
1,571KF,FC5713753,8,0,150
1,571KF,FC5713752,5,0,150
1,571QE,FC5713751,8,0,150
1,571QE,FC5713750,8,0,150
1,571DB,FC5713749,15,0,150
1,571JB,FC5713747,22,0,150
1,571PB,FC5713745,27,0,150
1,571LH,FC5713743,23,0,150
1,571FC,FC5713741,5,0,150
1,571FT,FC5713740,9,0,150
1,571TM,FC5713739,6,0,150
1,571CL,FC5713738,3,0,150
1,571CL,FC5713737,4,0,150
1,571CL,FC5713736,5,0,150
1,571CL,FC5713735,3,0,150
1,571CL,FC5713734,5,0,150
